Boundary,Protocol,Time_Bin_Start_Sec,Bytes,Packets,Bytes_per_Sec,Packets_per_Sec
Ignition SCADA <-> Middleware (OPC UA),OPC UA,456.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,457.0,906,6,906.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,458.0,1067,6,1067.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,459.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,460.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,461.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,462.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,463.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,464.0,1148,6,1148.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,465.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,466.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,467.0,1023,6,1023.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,468.0,1014,6,1014.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,469.0,1420,10,1420.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,470.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,471.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,472.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,473.0,969,6,969.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,474.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,475.0,1202,6,1202.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,476.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,477.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,478.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,479.0,996,6,996.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,480.0,1095,6,1095.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,481.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,482.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,483.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,484.0,1258,10,1258.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,485.0,969,6,969.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,486.0,1148,6,1148.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,487.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,488.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,489.0,542,3,542.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,490.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,491.0,1132,6,1132.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,492.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,493.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,494.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,495.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,496.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,497.0,1266,6,1266.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,498.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,499.0,1339,10,1339.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,500.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,501.0,461,3,461.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,502.0,1095,6,1095.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,503.0,915,6,915.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,504.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,505.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,506.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,507.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,508.0,1202,6,1202.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,509.0,969,6,969.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,510.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,511.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,512.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,513.0,570,3,570.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,514.0,1366,10,1366.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,515.0,915,6,915.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,516.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,517.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,518.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,519.0,623,3,623.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,520.0,932,6,932.0,6.0
